driver_id,lat,lon,disponibility
E5F9,40.455104,-3.68065,True
5EDA,40.429065,-3.691279,True
C6B7,40.416776,-3.691992,False
2CD7,40.448905,-3.691812,True
815B,40.436809,-3.696615,True
29A2,40.418351,-3.688199,False
9ECF,40.452772,-3.687252,False
2965,40.418179,-3.684902,True
840F,40.425157,-3.695811,False
7E80,40.430515,-3.697936,True
0BF3,40.445757,-3.688369,True
1EE3,40.426325,-3.680403,True
6B27,40.456589,-3.681333,False
8D31,40.431203,-3.680119,True
7E6E,40.459252,-3.691883,False
DC4E,40.419384,-3.684914,True
C513,40.425558,-3.702764,False
CB8D,40.419141,-3.696362,False
99F2,40.438257,-3.698947,False
C02A,40.457069,-3.701505,False
C658,40.435545,-3.693974,True
77BD,40.417389,-3.688061,False
7566,40.423425,-3.692196,True
B0A1,40.449758,-3.685382,True
E7F2,40.442424,-3.692404,True
1AC4,40.453802,-3.679769,False
B047,40.44928,-3.685577,False
642D,40.449235,-3.685298,True
EEC2,40.459039,-3.679905,True
EC3D,40.420989,-3.695299,False
9362,40.45613,-3.699251,False
E4AC,40.430515,-3.697936,True
5C56,40.464612,-3.700946,True
B14A,40.456469,-3.699407,True
3BEF,40.444966,-3.680161,False
CE8B,40.443904,-3.68292,True
5A75,40.428404,-3.687669,False
6CD9,40.422997,-3.684392,True
6303,40.458189,-3.698648,True
4EA0,40.444966,-3.680161,True
1339,40.449734,-3.679472,False
97C6,40.453014,-3.698328,False
F0F1,40.4321,-3.683896,False
9E60,40.424634,-3.69709,False
8E49,40.428688,-3.69004,True
E019,40.438575,-3.691965,False
6744,40.430992,-3.685752,False
732A,40.431635,-3.684421,False
1A86,40.440934,-3.695109,True
81CC,40.457825,-3.686521,False
